doi,Materials_1,Polymer_1,conjugation_1,Isomer_1,CentroSymmetry_1,mu_e_1,mu_h_1,E_LUMO (eV)_1,E_HOMO (eV)_1,Materials_2,Polymer_2,conjugation_2,Isomer_2,CentroSymmetry_2,mu_e_2,mu_h_2,E_LUMO (eV)_2,E_HOMO (eV)_2
10.1039/c6py01922f,PD23TFPE(S-F),*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5ccc(/C=C/c6ccc(*)c(F)c6F)c(F)c5F)s4)=C3C(=O)N2C)s1,1,0.0,1,0.02,0.06,-3.53,-5.6,PD25TFPE(S-F),*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5cc(F)c(/C=C/c6cc(F)c(*)cc6F)cc5F)s4)=C3C(=O)N2C)s1,1,0.0,1,0.18,0.32,-3.63,-5.57
10.1039/c6py01922f,PD26TFPE,*c1cc(F)c(/C=C/c2c(F)cc(-c3ccc(C4=C5C(=O)N(C)C(c6ccc(*)s6)=C5C(=O)N4C)s3)cc2F)c(F)c1,1,0.0,1,0.09,0.26,-3.59,-5.58,PD25TFPE(S-F),*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5cc(F)c(/C=C/c6cc(F)c(*)cc6F)cc5F)s4)=C3C(=O)N2C)s1,1,0.0,1,0.18,0.32,-3.63,-5.57
10.1039/c6ra03221d,PIDTOBT,*c1ccc2c(c1)N(C)C(=O)/C2=C1\C=C/C(=C2/C=C/C(=C3\C(=O)N(C)c4cc(-c5ccc(-c6ccc(*)s6)s5)ccc43)S2(=O)=O)S1(=O)=O,1,0.0,1,0.18,0.0,-4.09,-5.78,PIDTOBTz,*c1ccc2c(c1)N(C)C(=O)/C2=C1\C=C/C(=C2/C=C/C(=C3\C(=O)N(C)c4cc(-c5cnc(-c6ncc(*)s6)s5)ccc43)S2(=O)=O)S1(=O)=O,1,0.0,1,0.017,0.0,-4.18,-5.99
10.1039/c6tc00051g,d-PDBPy ,*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5cc(C)c(-c6cc7sc(-c8sc(*)cc8C)cc7s6)s5)nc4)=C3C(=O)N2C)cn1,1,0.0,1,0.0,0.00032,-3.01,-5.44,p-PDBPy ,*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5cc(C)c(-c6cc7sc(-c8sc(*)cc8C)cc7s6)s5)cn4)=C3C(=O)N2C)nc1,1,0.0,1,0.0,0.35,-3.09,-5.32
10.1039/c6tc01617k,PBIBDF-HH,*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)Oc2cc3c(cc21)OC(=O)/C3=C1/C(=O)N(C)c2cc(-c3cc(C)c(-c4sc(*)cc4C)s3)ccc21,1,0.0,1,1.23,0.37,-4.06,-5.63,PBIBDF-HT,*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)Oc2cc3c(cc21)OC(=O)/C3=C1/C(=O)N(C)c2cc(-c3cc(C)c(-c4cc(C)c(*)s4)s3)ccc21,1,0.0,0,0.175,0.0018,-4.05,-5.68
10.1039/c6tc01617k,PBIBDF-HH,*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)Oc2cc3c(cc21)OC(=O)/C3=C1/C(=O)N(C)c2cc(-c3cc(C)c(-c4sc(*)cc4C)s3)ccc21,1,0.0,1,1.23,0.37,-4.06,-5.63,PBIBDF-TT,*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)Oc2cc3c(cc21)OC(=O)/C3=C1/C(=O)N(C)c2cc(-c3sc(-c4cc(C)c(*)s4)cc3C)ccc21,1,0.0,1,0.7,0.17,-4.01,-5.73
10.1039/c6tc01617k,PBIBDF-HT,*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)Oc2cc3c(cc21)OC(=O)/C3=C1/C(=O)N(C)c2cc(-c3cc(C)c(-c4cc(C)c(*)s4)s3)ccc21,1,0.0,0,0.175,0.0018,-4.05,-5.68,PBIBDF-TT,*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)Oc2cc3c(cc21)OC(=O)/C3=C1/C(=O)N(C)c2cc(-c3sc(-c4cc(C)c(*)s4)cc3C)ccc21,1,0.0,1,0.7,0.17,-4.01,-5.73
10.1039/c6tc04271f,PPyTDPP-TT,*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5cc6sc(*)cc6s5)s4)=C3C(=O)N2C)nc1,1,0.0,0,0.18,0.48,-3.75,-5.28,PPyTDPP-BT,*c1ccc(C2=C3C(=O)N(C)C(c4ccc(-c5ccc(-c6ccc(*)s6)s5)s4)=C3C(=O)N2C)nc1,1,0.0,0,0.08,0.55,-3.6,-5.14
10.1039/c7cc08603b,PDIO-BT,*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)N(C)c2cc3c(cc21)c(=O)c1cc2c(cc13)c(=O)c1cc3c(cc12)N(C)C(=O)/C3=C1/C(=O)N(C)c2cc(-c3ccc(-c4ccc(*)s4)s3)ccc21,1,0.0,1,0.053,0.065,-3.79,-5.47,PDIO-TVT,*c1ccc2c(c1)N(C)C(=O)/C2=C1/C(=O)N(C)c2cc3c(cc21)c(=O)c1cc2c(cc13)c(=O)c1cc3c(cc12)N(C)C(=O)/C3=C1/C(=O)N(C)c2cc(-c3ccc(/C=C/c4ccc(*)s4)s3)ccc21,1,0.0,1,0.14,0.1,-3.77,-5.39
10.1039/c7py00616k,NDP-BT,*c1ccc(C2=c3ccc4c5c(ccc4c3N(C)C2=O)=C(c2ccc(-c3ccc(-c4ccc(*)s4)s3)cc2)C(=O)N5C)cc1,1,0.0,1,0.283,0.069,-4.2,-5.66,NDP-BDTO,*c1ccc(C2=c3ccc4c5c(ccc4c3N(C)C2=O)=C(c2ccc(-c3cc4c(OC)c6sc(*)cc6c(OC)c4s3)cc2)C(=O)N5C)cc1,1,0.0,1,0.057,0.021,-4.31,-5.78
